1.wav|Looks to me like an eighteen fifty five milimeter lens. pretty standard, that will do. Not like my husband will be stalking celebrities or anything!
181.wav|I could totally pick up any woman in here. 
182.wav|Good, hey, hey, listen, this. No, that is. 
183.wav|It's ridiculous. I didn't mean to hurt it. 
184.wav|Too bad for you. and you owe me a hundred. 
185.wav|Oh, Kitty is the perfect dress is perfect. 
186.wav|Can't we have to tell her it's a bad word? 
187.wav|Rushing into it. We've been working on it. 
188.wav|It's worth the time and effort. I know it. 
189.wav|It's like. We don't want you to feel bad. 
190.wav|Damn three feedback. You can hardly tell. 
191.wav|Jody set it up. Mammoth heard that, Jody. 
192.wav|No, it's not right. And I'll talk to her. 
193.wav|This morning, they were looking for you. 
194.wav|I thought it was nice.what did you think?
195.wav|That family find rules rather difficult. 
196.wav|Right by, right. Yes, it was. Beautiful. 
197.wav|But sing Collo. That's a Joe Carlo shop. 
198.wav|Well, that just might be your favourite. 
199.wav|No, I just feel like you're being weird. 
200.wav|I hope you don't mind. I sleep like this.
